Date_wise,Flight_No,Airlines_Name,Arrival/Departure,Departure_City_Code,Departure_City,Departure_Airport,Departure_Date,Departure_time_scheduled,Departure_time_Actual,Departure_terminal,Arrival_City_Code,Arrival_City,Arrival_Airport,Arrival_Date,Arrival_time_scheduled,Arrivial_time_Actual,Arrival_terminal,Flight_Status,Flight_Time_status,Flight_delay_by_time,Flight_time,Flight_distance,Aircraft_equipment_code,Aircraft_equipment_description
24-06-2022,6E 391,IndiGo,Arrival,PNQ,Pune,Pune Airport,24-06-2022,07:35 IST,07:26 IST,,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,09:20 IST,09:13 IST,1,Arrived,On time,,1h 47m,449 mi,32N,Airbus A320neo
24-06-2022,6E 6293,IndiGo,Arrival,BOM,Mumbai,Chhatrapati Shivaji International Airport,24-06-2022,07:35 IST,07:24 IST,2,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,09:20 IST,09:23 IST,1,Arrived,On time,,1h 59m,518 mi,,
24-06-2022,TK 4721,Turkish Airlines,Arrival,BOM,Mumbai,Chhatrapati Shivaji International Airport,24-06-2022,07:35 IST,07:24 IST,2,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,09:20 IST,09:23 IST,1,Arrived,On time,,1h 59m,518 mi,32N,Airbus A320neo
24-06-2022,6E 921,IndiGo,Arrival,GOI,Goa,Dabolim Airport,24-06-2022,08:15 IST,08:44 IST,,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,09:30 IST,10:07 IST,1,Arrived,Delayed,37m,1h 23m,300 mi,32N,Airbus A320neo
24-06-2022,6E 151,IndiGo,Arrival,HYD,Hyderabad,Rajiv Gandhi International Airport,24-06-2022,08:15 IST,08:05 IST,,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,09:30 IST,09:23 IST,1,Arrived,On time,,1h 18m,283 mi,32N,Airbus A320neo
24-06-2022,UK 512,Vistara,Arrival,CJB,Coimbatore,Coimbatore International Airport,24-06-2022,08:35 IST,08:12 IST,,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,09:30 IST,09:20 IST,,Arrived,On time,,1h 8m,157 mi,32N,Airbus A320neo
24-06-2022,6E 849,IndiGo,Arrival,IXC,Chandigarh,Chandigarh Airport,24-06-2022,06:50 IST,06:46 IST,,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,09:45 IST,09:45 IST,1,Arrived,On time,,2h 59m,1209 mi,32Q,Airbus A321neo
24-06-2022,6E 393,IndiGo,Arrival,BBI,Bhubaneswar,Biju Patnaik International Airport,24-06-2022,07:55 IST,07:53 IST,1,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,09:45 IST,10:01 IST,1,Arrived,Delayed,16m,2h 8m,724 mi,32N,Airbus A320neo
24-06-2022,6E 5009,IndiGo,Arrival,DEL,Delhi,Indira Gandhi International Airport,24-06-2022,06:55 IST,07:21 IST,3,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,09:50 IST,10:10 IST,1,Arrived,Delayed,20m,2h 49m,1062 mi,,
24-06-2022,TK 4716,Turkish Airlines,Arrival,DEL,Delhi,Indira Gandhi International Airport,24-06-2022,06:55 IST,07:21 IST,3,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,09:50 IST,10:10 IST,1,Arrived,Delayed,20m,2h 49m,1062 mi,32Q,Airbus A321neo
24-06-2022,6E 823,IndiGo,Arrival,AMD,Ahmedabad,Ahmedabad Airport,24-06-2022,07:40 IST,07:34 IST,1,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,10:00 IST,10:09 IST,1,Arrived,On time,,2h 35m,759 mi,32N,Airbus A320neo
24-06-2022,6E 6799,IndiGo,Arrival,IXR,Ranchi,Birsa Munda Airport,24-06-2022,07:55 IST,08:16 IST,,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,10:10 IST,10:32 IST,1,Arrived,Delayed,22m,2h 16m,859 mi,32Q,Airbus A321neo
24-06-2022,G8 802,Go First,Arrival,AMD,Ahmedabad,Ahmedabad Airport,24-06-2022,08:00 IST,07:55 IST,1,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,10:10 IST,10:21 IST,,Arrived,On time,,2h 26m,759 mi,32N,Airbus A320neo
24-06-2022,6E 7172,IndiGo,Arrival,IXM,Madurai,Madurai Airport,24-06-2022,08:45 IST,08:38 IST,1,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,10:10 IST,09:58 IST,1,Arrived,On time,,1h 20m,234 mi,AT7,ATR 72
24-06-2022,6E 5287,IndiGo,Arrival,BOM,Mumbai,Chhatrapati Shivaji International Airport,24-06-2022,08:30 IST,08:25 IST,1,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,10:15 IST,10:18 IST,1,Arrived,On time,,1h 53m,518 mi,,
24-06-2022,KL 3674,KLM,Arrival,BOM,Mumbai,Chhatrapati Shivaji International Airport,24-06-2022,08:30 IST,08:25 IST,1,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,10:15 IST,10:18 IST,1,Arrived,On time,,1h 53m,518 mi,32N,Airbus A320neo
24-06-2022,6E 909,IndiGo,Arrival,NAG,Nagpur,Dr. Babasaheb Ambedkar International Airport,24-06-2022,08:35 IST,08:19 IST,,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,10:15 IST,10:02 IST,1,Arrived,On time,,1h 43m,552 mi,32N,Airbus A320neo
24-06-2022,I5 1622,AirAsia India,Arrival,IXR,Ranchi,Birsa Munda Airport,24-06-2022,08:05 IST,08:06 IST,,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,10:20 IST,10:20 IST,,Arrived,On time,,2h 14m,859 mi,320,Airbus A320
